family,identifier,child,subchild,sort-as,control_name,assessment_objective,EXAMINE,INTERVIEW,TEST
,AC-03(09),,,AC-03-09-00,Access Enforcement | Controlled Release,Determine if:,[SELECT FROM: Access control policy; procedures addressing access enforcement; system design documentation; system configuration settings and associated documentation; list of security and privacy safeguards provided by receiving system or system components; list of security and privacy safeguards validating appropriateness of information designated for release; system audit records; results of period assessments (inspections/tests) of the external system; information sharing agreements; memoranda of understanding; acquisitions/contractual agreements; system security plan; privacy plan; other relevant documents or records].,[SELECT FROM: Organizational personnel with access enforcement responsibilities; system/network administrators; organizational personnel with information security and privacy responsibilities; organizational personnel with responsibility for acquisitions/contractual agreements; legal counsel; system developers].,[SELECT FROM: Mechanisms implementing access enforcement functions].
,,AC-03(09),AC-03(09)_ODP[01],AC-03-09-01,,the outside system or system component to which to release information is defined;,,,
,,AC-03(09),AC-03(09)_ODP[02],AC-03-09-02,,controls to be provided by the outside system or system component (defined in AC-03(09)_ODP[01]) are defined;,,,
,,AC-03(09),AC-03(09)_ODP[03],AC-03-09-03,,controls used to validate appropriateness of information to be released are defined;,,,
,,AC-03(09),AC-03(09)(a),AC-03-09-04,,information is released outside of the system only if the receiving <AC-03(09)_ODP[01] system or system component> provides <AC-03(09)_ODP[02] controls>;,,,
,,AC-03(09),AC-03(09)(b),AC-03-09-05,,information is released outside of the system only if <AC-03(09)_ODP[03] controls> are used to validate the appropriateness of the information designated for release.,,,
,AC-03(10),,,AC-03-10-00,Access Enforcement | Audited Override of Access Control Mechanisms,Determine if:,[SELECT FROM: Access control policy; procedures addressing access enforcement; system design documentation; system configuration settings and associated documentation; conditions for employing audited override of automated access control mechanisms; system audit records; system security plan; other relevant documents or records].,[SELECT FROM: Organizational personnel with access enforcement responsibilities; system/network administrators; organizational personnel with information security responsibilities].,[SELECT FROM: Mechanisms implementing access enforcement functions].
,,AC-03(10),AC-03(10)_ODP[01],AC-03-10-01,,conditions under which to employ an audited override of automated access control mechanisms are defined;,,,
,,AC-03(10),AC-03(10)_ODP[02],AC-03-10-02,,roles allowed to employ an audited override of automated access control mechanisms are defined;,,,
,,AC-03(10),AC-03(10),AC-03-10-03,,an audited override of automated access control mechanisms is employed under <AC-03(10)_ODP[01] conditions> by <AC-03(10)_ODP[02] roles>.,,,
,AC-03(11),,,AC-03-11-00,Access Enforcement | Restrict Access to Specific Information Types,Determine if:,[SELECT FROM: Access control policy; procedures addressing access enforcement; system design documentation; system configuration settings and associated documentation; system audit records; system security plan; other relevant documents or records].,[SELECT FROM: Organizational personnel with access enforcement responsibilities; organizational personnel with responsibilities for data repositories; system/network administrators; organizational personnel with information security responsibilities].,[SELECT FROM: Mechanisms implementing access enforcement functions].
,,AC-03(11),AC-03(11)_ODP,AC-03-11-01,,information types requiring restricted access to data repositories are defined;,,,
,,AC-03(11),AC-03(11),AC-03-11-02,,access to data repositories containing <AC-03(11)_ODP information types> is restricted.,,,
,AC-03(12),,,AC-03-12-00,Access Enforcement | Assert and Enforce Application Access,Determine if:,[SELECT FROM: Access control policy; procedures addressing access enforcement; system design documentation; system configuration settings and associated documentation; system audit records; system security plan; other relevant documents or records].,[SELECT FROM: Organizational personnel with access enforcement responsibilities; system/network administrators; organizational personnel with information security responsibilities].,[SELECT FROM: Mechanisms implementing access enforcement functions].
,,AC-03(12),AC-03(12)_ODP,AC-03-12-01,,system applications and functions requiring access assertion are defined;,,,
,,AC-03(12),AC-03(12)(a),AC-03-12-02,,"as part of the installation process, applications are required to assert the access needed to the following system applications and functions: <AC-03(12)_ODP system applications and functions>;",,,
,,AC-03(12),AC-03(12)(b),AC-03-12-03,,an enforcement mechanism to prevent unauthorized access is provided;,,,
,,AC-03(12),AC-03(12)(c),AC-03-12-04,,access changes after initial installation of the application are approved.,,,
,AC-03(13),,,AC-03-13-00,Access Enforcement | Attribute-based Access Control,Determine if:,"[SELECT FROM: Access control policy; procedures addressing access enforcement; system design documentation; system configuration settings and associated documentation; list of subjects and objects (i.e., users and resources) requiring enforcement of attribute-based access control policies; system audit records; system security plan; other relevant documents or records].",[SELECT FROM: Organizational personnel with access enforcement responsibilities; system/network administrators; organizational personnel with information security responsibilities].,[SELECT FROM: Mechanisms implementing access enforcement functions].
,,AC-03(13),AC-03(13)_ODP,AC-03-13-01,,attributes to assume access permissions are defined;,,,
,,AC-03(13),AC-03(13)[01],AC-03-13-02,,the attribute-based access control policy is enforced over defined subjects;,,,
,,AC-03(13),AC-03(13)[02],AC-03-13-03,,the attribute-based access control policy is enforced over defined objects;,,,
,,AC-03(13),AC-03(13)[03],AC-03-13-04,,access is controlled based on <AC-03(13)_ODP attributes>.,,,
,AC-03(14),,,AC-03-14-00,Access Enforcement | Individual Access,Determine if:,"[SELECT FROM: Access mechanisms (e.g., request forms and application interfaces); access control policy; procedures addressing access enforcement; system design documentation; system configuration settings and associated documentation; documentation regarding access to an individual’s personally identifiable information; system audit records; system security plan; privacy plan; privacy impact assessment; privacy assessment findings and/or reports; other relevant documents or records].",[SELECT FROM: Organizational personnel with access enforcement responsibilities; system/network administrators; organizational personnel with information security and privacy responsibilities; legal counsel].,[SELECT FROM: Mechanisms implementing access enforcement functions; mechanisms enabling individual access to personally identifiable information].
,,AC-03(14),AC-03(14)_ODP[01],AC-03-14-01,,mechanisms enabling individuals to have access to elements of their personally identifiable information are defined;,,,
,,AC-03(14),AC-03(14)_ODP[02],AC-03-14-02,,elements of personally identifiable information to which individuals have access are defined;,,,
,,AC-03(14),AC-03(14),AC-03-14-03,,<AC-03(14)_ODP[01] mechanisms> are provided to enable individuals to have access to <AC-03(14)_ODP[02] elements> of their personally identifiable information.,,,
,AC-03(15),,,AC-03-15-00,Access Enforcement | Discretionary and Mandatory Access Control,Determine if:,"[SELECT FROM: Access control policy; procedures addressing access enforcement; system design documentation; system configuration settings and associated documentation; list of subjects and objects (i.e., users and resources) requiring enforcement of mandatory access control policies; list of subjects and objects (i.e., users and resources) requiring enforcement of discretionary access control policies; system audit records; system security plan; other relevant documents or records].",[SELECT FROM: Organizational personnel with access enforcement responsibilities; system/network administrators; organizational personnel with information security responsibilities; system developers].,[SELECT FROM: Mechanisms implementing mandatory and discretionary access control policy].
,,AC-03(15),AC-03(15)_ODP[01],AC-03-15-01,,a mandatory access control policy enforced over the set of covered subjects specified in the policy is defined;,,,
,,AC-03(15),AC-03(15)_ODP[02],AC-03-15-02,,a mandatory access control policy enforced over the set of covered objects specified in the policy is defined;,,,
,,AC-03(15),AC-03(15)_ODP[03],AC-03-15-03,,a discretionary access control policy enforced over the set of covered subjects specified in the policy is defined;,,,
,,AC-03(15),AC-03(15)_ODP[04],AC-03-15-04,,a discretionary access control policy enforced over the set of covered objects specified in the policy is defined;,,,
,,AC-03(15),AC-03(15)(a)[01],AC-03-15-05,,<AC-03(15)_ODP[01] mandatory access control policy> is enforced over the set of covered subjects specified in the policy;,,,
,,AC-03(15),AC-03(15)(a)[02],AC-03-15-06,,<AC-03(15)_ODP[02] mandatory access control policy> is enforced over the set of covered objects specified in the policy;,,,
,,AC-03(15),AC-03(15)(b)[01],AC-03-15-07,,<AC-03(15)_ODP[03] discretionary access control policy> is enforced over the set of covered subjects specified in the policy;,,,
,,AC-03(15),AC-03(15)(b)[02],AC-03-15-08,,<AC-03(15)_ODP[04] discretionary access control policy> is enforced over the set of covered objects specified in the policy.,,,
ACCESS CONTROL,AC-03,,,AC-03-00-00,Access Enforcement,Determine if:,[SELECT FROM: Access control policy; procedures addressing access enforcement; system design documentation; system configuration settings and associated documentation; list of approved authorizations (user privileges); system audit records; system security plan; privacy plan; other relevant documents or records].,[SELECT FROM: Organizational personnel with access enforcement responsibilities; system/network administrators; organizational personnel with information security and privacy responsibilities; system developers].,[SELECT FROM: Mechanisms implementing access control policy].
,AC-04_ODP,,,AC-04-00-01,,information flow control policies within the system and between connected systems are defined;,,,
,AC-04,,,AC-04-00-02,,approved authorizations are enforced for controlling the flow of information within the system and between connected systems based on <AC-04_ODP information flow control policies>.,,,
,AC-04(01),,,AC-04-01-00,Information Flow Enforcement | Object Security and Privacy Attributes,Determine if:,[SELECT FROM: Access control policy; information flow control policies; procedures addressing information flow enforcement; system design documentation; system configuration settings and associated documentation; list of security and privacy attributes and associated source and destination objects; system audit records; system security plan; privacy plan; other relevant documents or records].,[SELECT FROM: System/network administrators; organizational personnel with information security responsibilities; organizational personnel with privacy responsibilities; system developers].,[SELECT FROM: Mechanisms implementing information flow enforcement policy].
,,AC-04(01),AC-04(01)_ODP[01],AC-04-01-01,,"security attributes to be associated with information, source, and destination objects are defined;",,,
,,AC-04(01),AC-04(01)_ODP[02],AC-04-01-02,,"privacy attributes to be associated with information, source, and destination objects are defined;",,,
,,AC-04(01),AC-04(01)_ODP[03],AC-04-01-03,,information objects to be associated with information security attributes are defined;,,,
,,AC-04(01),AC-04(01)_ODP[04],AC-04-01-04,,information objects to be associated with privacy attributes are defined;,,,
,,AC-04(01),AC-04(01)_ODP[05],AC-04-01-05,,source objects to be associated with information security attributes are defined;,,,
,,AC-04(01),AC-04(01)_ODP[06],AC-04-01-06,,source objects to be associated with privacy attributes are defined;,,,
,,AC-04(01),AC-04(01)_ODP[07],AC-04-01-07,,destination objects to be associated with information security attributes are defined;,,,
,,AC-04(01),AC-04(01)_ODP[08],AC-04-01-08,,destination objects to be associated with privacy attributes are defined;,,,
,,AC-04(01),AC-04(01)_ODP[09],AC-04-01-09,,information flow control policies as a basis for enforcement of flow control decisions are defined;,,,
,,AC-04(01),AC-04(01)[01],AC-04-01-10,,"<AC-04(01)_ODP[01] security attributes> associated with <AC-04(01)_ODP[03] information objects>, <AC-04(01)_ODP[05] source objects> , and <AC-04(01)_ODP[07] destination objects> are used to enforce <AC-04(01)_ODP[09] information flow control policies> as a basis for flow control decisions;",,,
,,AC-04(01),AC-04(01)[02],AC-04-01-11,,"<AC-04(01)_ODP[02] privacy attributes> associated with <AC-04(01)_ODP[04] information objects>, <AC-04(01)_ODP[06] source objects> , and <AC-04(01)_ODP[08] destination objects> are used to enforce <AC-04(01)_ODP[09] information flow control policies> as a basis for flow control decisions.",,,
,AC-04(02),,,AC-04-02-00,Information Flow Enforcement | Processing Domains,Determine if:,[SELECT FROM: Access control policy; information flow control policies; procedures addressing information flow enforcement; system design documentation; system security architecture and associated documentation; system configuration settings and associated documentation; system audit records; system security plan; other relevant documents or records].,[SELECT FROM: System/network administrators; organizational personnel with information security responsibilities].,[SELECT FROM: Mechanisms implementing information flow enforcement policy].
,,AC-04(02),AC-04(02)_ODP,AC-04-02-01,,information flow control policies to be enforced by use of protected processing domains are defined;,,,
,,AC-04(02),AC-04(02),AC-04-02-02,,protected processing domains are used to enforce <AC-04(02)_ODP information flow control policies> as a basis for flow control decisions.,,,
,AC-04(03),,,AC-04-03-00,Information Flow Enforcement | Dynamic Information Flow Control,Determine if:,[SELECT FROM: Access control policy; information flow control policies; procedures addressing information flow enforcement; system design documentation; system security architecture and associated documentation; system configuration settings and associated documentation; system audit records; system security plan; other relevant documents or records].,[SELECT FROM: System/network administrators; organizational personnel with information security responsibilities; system developers].,[SELECT FROM: Mechanisms implementing information flow enforcement policy].
,,AC-04(03),AC-04(03)_ODP,AC-04-03-01,,information flow control policies to be enforced are defined;,,,
,,AC-04(03),AC-04(03),AC-04-03-02,,<AC-04(03)_ODP information flow control policies> are enforced.,,,
,AC-04(04),,,AC-04-04-00,Information Flow Enforcement | Flow Control of Encrypted Information,Determine if:,[SELECT FROM: Access control policy; information flow control policies; procedures addressing information flow enforcement; system design documentation; system configuration settings and associated documentation; system audit records; system security plan; other relevant documents or records].,[SELECT FROM: System/network administrators; organizational personnel with information security responsibilities; system developers].,[SELECT FROM: Mechanisms implementing information flow enforcement policy].
,,AC-04(04),AC-04(04)_ODP[01],AC-04-04-01,,information flow control mechanisms that encrypted information is prevented from bypassing are defined;,,,
,,AC-04(04),AC-04(04)_ODP[02],AC-04-04-02,,one or more of the following PARAMETER VALUES is/are selected: {decrypting the information; blocking the flow of the encrypted information; terminating communications sessions attempting to pass encrypted information; <AC-04(04)_ODP[03] organization-defined procedure or method>};,,,
,,AC-04(04),AC-04(04)_ODP[03],AC-04-04-03,,the organization-defined procedure or method used to prevent encrypted information from bypassing information flow control mechanisms is defined (if selected);,,,
,,AC-04(04),AC-04(04),AC-04-04-04,,encrypted information is prevented from bypassing <AC-04(04)_ODP[01] information flow control mechanisms> by <AC-04(04)_ODP[02] SELECTED PARAMETER VALUES>.,,,
,AC-04(05),,,AC-04-05-00,Information Flow Enforcement | Embedded Data Types,Determine if:,[SELECT FROM: Access control policy; procedures addressing information flow enforcement; system design documentation; system configuration settings and associated documentation; list of limitations to be enforced on embedding data types within other data types; system audit records; system security plan; other relevant documents or records].,[SELECT FROM: System/network administrators; organizational personnel with information security responsibilities; system developers].,[SELECT FROM: Mechanisms implementing information flow enforcement policy].
,,AC-04(05),AC-04(05)_ODP,AC-04-05-01,,limitations on embedding data types within other data types are defined;,,,
,,AC-04(05),AC-04(05),AC-04-05-02,,<AC-04(05)_ODP limitations> are enforced on embedding data types within other data types.,,,
,AC-04(06),,,AC-04-06-00,Information Flow Enforcement | Metadata,Determine if:,[SELECT FROM: Access control policy; information flow control policies; procedures addressing information flow enforcement; system design documentation; system configuration settings and associated documentation; types of metadata used to enforce information flow control decisions; system audit records; system security plan; other relevant documents or records].,[SELECT FROM: System/network administrators; organizational personnel with information security responsibilities; system developers].,[SELECT FROM: Mechanisms implementing information flow enforcement policy].
,,AC-04(06),AC-04(06)_ODP,AC-04-06-01,,metadata on which to base enforcement of information flow control is defined;,,,
,,AC-04(06),AC-04(06),AC-04-06-02,,information flow control enforcement is based on <AC-04(06)_ODP metadata>.,,,
,AC-04(07),,,AC-04-07-00,Information Flow Enforcement | One-way Flow Mechanisms,Determine if:,[SELECT FROM: Access control policy; information flow control policies; procedures addressing information flow enforcement; system design documentation; system configuration settings and associated documentation; system hardware mechanisms and associated configurations; system audit records; system security plan; other relevant documents or records].,[SELECT FROM: System/network administrators; organizational personnel with information security responsibilities; system developers].,[SELECT FROM: Hardware mechanisms implementing information flow enforcement policy].
,,AC-04(07),AC-04(07),AC-04-07-01,,one-way information flows are enforced through hardware-based flow control mechanisms.,,,
,AC-04(08),,,AC-04-08-00,Information Flow Enforcement | Security and Privacy Policy Filters,Determine if:,[SELECT FROM: Access control policy; information flow control policies; procedures addressing information flow enforcement; system design documentation; system configuration settings and associated documentation; list of security policy filters regulating flow control decisions; list of privacy policy filters regulating flow control decisions; system audit records; system security plan; privacy plan; other relevant documents or records].,[SELECT FROM: System/network administrators; organizational personnel with information security and privacy responsibilities; system developers].,[SELECT FROM: Mechanisms implementing information flow enforcement policy; security and privacy policy filters].
,,AC-04(08),AC-04(08)_ODP[01],AC-04-08-01,,security policy filters to be used as a basis for enforcing information flow control are defined;,,,
,,AC-04(08),AC-04(08)_ODP[02],AC-04-08-02,,privacy policy filters to be used as a basis for enforcing information flow control are defined;,,,
,,AC-04(08),AC-04(08)_ODP[03],AC-04-08-03,,information flows for which information flow control is enforced by security filters are defined;,,,
,,AC-04(08),AC-04(08)_ODP[04],AC-04-08-04,,information flows for which information flow control is enforced by privacy filters are defined;,,,
,,AC-04(08),AC-04(08)_ODP[05],AC-04-08-05,,one or more of the following PARAMETER VALUES is/are selected: {block; strip; modify; quarantine};,,,
,,AC-04(08),AC-04(08)_ODP[06],AC-04-08-06,,security policy identifying actions to be taken after a filter processing failure are defined;,,,
,,AC-04(08),AC-04(08)_ODP[07],AC-04-08-07,,privacy policy identifying actions to be taken after a filter processing failure are defined;,,,
,,AC-04(08),AC-04(08)(a)[01],AC-04-08-08,,information flow control is enforced using <AC-04(08)_ODP[01] security policy filter> as a basis for flow control decisions for <AC-04(08)_ODP[03] information flows>;,,,
,,AC-04(08),AC-04(08)(a)[02],AC-04-08-09,,information flow control is enforced using <AC-04(08)_ODP[02] privacy policy filter> as a basis for flow control decisions for <AC-04(08)_ODP[04] information flows>;,,,
,,AC-04(08),AC-04(08)(b),AC-04-08-10,,<AC-04(08)_ODP[05] SELECTED PARAMETER VALUES> data after a filter processing failure in accordance with <AC-04(08)_ODP[06] security policy>;<AC-04(08)_ODP[05] SELECTED PARAMETER VALUES> data after a filter processing failure in accordance with <AC-04(08)_ODP[07] privacy policy>.,,,
,AC-04(09),,,AC-04-09-00,Information Flow Enforcement | Human Reviews,Determine if:,[SELECT FROM: Access control policy; information flow control policies; procedures addressing information flow enforcement; system design documentation; system configuration settings and associated documentation; records of human reviews regarding information flows; list of information flows requiring the use of human reviews; list of conditions requiring human reviews for information flows; system audit records; system security plan; privacy plan; other relevant documents or records].,[SELECT FROM: System/network administrators; organizational personnel with information security and privacy responsibilities; organizational personnel with information flow enforcement responsibilities; system developers].,[SELECT FROM: Mechanisms enforcing the use of human reviews].
,,AC-04(09),AC-04(09)_ODP[01],AC-04-09-01,,information flows requiring the use of human reviews are defined;,,,
,,AC-04(09),AC-04(09)_ODP[02],AC-04-09-02,,conditions under which the use of human reviews for information flows are to be enforced are defined;,,,
,,AC-04(09),AC-04(09),AC-04-09-03,,human reviews are used for <AC-04(09)_ODP[01] information flows> under <AC-04(09)_ODP[02] conditions>.,,,
,AC-04(10),,,AC-04-10-00,Information Flow Enforcement | Enable and Disable Security or Privacy Policy Filters,Determine if:,[SELECT FROM: Access control policy; information flow information policies; procedures addressing information flow enforcement; system design documentation; system configuration settings and associated documentation; list of security policy filters enabled/disabled by privileged administrators; list of privacy policy filters enabled/disabled by privileged administrators; list of approved data types for enabling/disabling by privileged administrators; system audit records; system security plan; privacy plan; other relevant documents or records].,[SELECT FROM: Organizational personnel with responsibilities for enabling/disabling security and privacy policy filters; system/network administrators; organizational personnel with information security and privacy responsibilities; system developers].,[SELECT FROM: Mechanisms implementing information flow enforcement policy; security and privacy policy filters].
,,AC-04(10),AC-04(10)_ODP[01],AC-04-10-01,,security policy filters that privileged administrators have the capability to enable and disable are defined;,,,
,,AC-04(10),AC-04(10)_ODP[02],AC-04-10-02,,privacy policy filters that privileged administrators have the capability to enable and disable are defined;,,,
,,AC-04(10),AC-04(10)_ODP[03],AC-04-10-03,,conditions under which privileged administrators have the capability to enable and disable security policy filters are defined;,,,
,,AC-04(10),AC-04(10)_ODP[04],AC-04-10-04,,conditions under which privileged administrators have the capability to enable and disable privacy policy filters are defined;,,,
,,AC-04(10),AC-04(10)[01],AC-04-10-05,,capability is provided for privileged administrators to enable and disable <AC-04(10)_ODP[01] security filters> under <AC-04(10)_ODP[03] conditions>;,,,
,,AC-04(10),AC-04(10)[02],AC-04-10-06,,capability is provided for privileged administrators to enable and disable <AC-04(10)_ODP[02] privacy filters> under <AC-04(10)_ODP[04] conditions>.,,,
,AC-04(11),,,AC-04-11-00,Information Flow Enforcement | Configuration of Security or Privacy Policy Filters,Determine if:,[SELECT FROM: Access control policy; information flow control policies; procedures addressing information flow enforcement; system design documentation; system configuration settings and associated documentation; list of security policy filters; list of privacy policy filters; system audit records; system security plan; privacy plan; other relevant documents or records].,[SELECT FROM: Organizational personnel with responsibilities for configuring security and privacy policy filters; system/network administrators; organizational personnel with information security and privacy responsibilities; system developers].,[SELECT FROM: Mechanisms implementing information flow enforcement policy; security and privacy policy filters].
,,AC-04(11),AC-04(11)_ODP[01],AC-04-11-01,,security policy filters that privileged administrators have the capability to configure to support different security and privacy policies are defined;,,,
,,AC-04(11),AC-04(11)_ODP[02],AC-04-11-02,,privacy policy filters that privileged administrators have the capability to configure to support different security and privacy policies are defined;,,,
,,AC-04(11),AC-04(11)[01],AC-04-11-03,,capability is provided for privileged administrators to configure <AC-04(11)_ODP[01] security policy filters> to support different security or privacy policies;,,,
,,AC-04(11),AC-04(11)[02],AC-04-11-04,,capability is provided for privileged administrators to configure <AC-04(11)_ODP[02] privacy policy filters> to support different security or privacy policies.,,,
,AC-04(12),,,AC-04-12-00,Information Flow Enforcement | Data Type Identifiers,Determine if:,[SELECT FROM: Access control policy; information flow control policies; procedures addressing information flow enforcement; system design documentation; system configuration settings and associated documentation; list of data type identifiers; system audit records; system security plan; other relevant documents or records].,[SELECT FROM: System/network administrators; organizational personnel with information security responsibilities; system developers].,[SELECT FROM: Mechanisms implementing information flow enforcement policy].
,,AC-04(12),AC-04(12)_ODP,AC-04-12-01,,data type identifiers to be used to validate data essential for information flow decisions are defined;,,,
,,AC-04(12),AC-04(12),AC-04-12-02,,"when transferring information between different security domains, <AC-04(12)_ODP data type identifiers> are used to validate data essential for information flow decisions.",,,
,AC-04(13),,,AC-04-13-00,Information Flow Enforcement | Decomposition into Policy-relevant Subcomponents,Determine if:,[SELECT FROM: Access control policy; information flow control policies; procedures addressing information flow enforcement; system design documentation; system configuration settings and associated documentation; system audit records; system security plan; other relevant documents or records].,[SELECT FROM: System/network administrators; organizational personnel with information security responsibilities; system developers].,[SELECT FROM: Mechanisms implementing information flow enforcement policy].
,,AC-04(13),AC-04(13)_ODP,AC-04-13-01,,policy-relevant subcomponents into which to decompose information for submission to policy enforcement mechanisms are defined;,,,
,,AC-04(13),AC-04(13),AC-04-13-02,,"when transferring information between different security domains, information is decomposed into <AC-04(13)_ODP policy-relevant subcomponents> for submission to policy enforcement mechanisms.",,,
,AC-04(14),,,AC-04-14-00,Information Flow Enforcement | Security or Privacy Policy Filter Constraints,Determine if:,[SELECT FROM: Access control policy; information flow control policies; procedures addressing information flow enforcement; system design documentation; system configuration settings and associated documentation; list of security and privacy policy filters; list of data structure policy filters; list of data content policy filters; system audit records; system security plan; privacy plan; other relevant documents or records].,[SELECT FROM: System/network administrators; organizational personnel with information security and privacy responsibilities; system developers].,[SELECT FROM: Mechanisms implementing information flow enforcement policy; security and privacy policy filters].
,,AC-04(14),AC-04(14)_ODP[01],AC-04-14-01,,security policy filters to be implemented that require fully enumerated formats restricting data structure and content have been defined;,,,
,,AC-04(14),AC-04(14)_ODP[02],AC-04-14-02,,privacy policy filters to be implemented that require fully enumerated formats restricting data structure and content are defined;,,,
,,AC-04(14),AC-04(14)[01],AC-04-14-03,,"when transferring information between different security domains, implemented <AC-04(14)_ODP[01] security policy filters> require fully enumerated formats that restrict data structure and content;",,,
,,AC-04(14),AC-04(14)[02],AC-04-14-04,,"when transferring information between different security domains, implemented <AC-04(14)_ODP[02] privacy policy filters> require fully enumerated formats that restrict data structure and content.",,,
,AC-04(15),,,AC-04-15-00,Information Flow Enforcement | Detection of Unsanctioned Information,Determine if:,[SELECT FROM: Access control policy; information flow control policies; procedures addressing information flow enforcement; system design documentation; system configuration settings and associated documentation; list of unsanctioned information types and associated information; system audit records; system security plan; privacy plan; other relevant documents or records].,[SELECT FROM: Organizational personnel with information security responsibilities; organizational personnel with privacy responsibilities; system developers].,[SELECT FROM: Mechanisms implementing information flow enforcement policy].
,,AC-04(15),AC-04(15)_ODP[01],AC-04-15-01,,unsanctioned information to be detected is defined;,,,
,,AC-04(15),AC-04(15)_ODP[02],AC-04-15-02,,security policy that requires the transfer of unsanctioned information between different security domains to be prohibited is defined (if selected);,,,
,,AC-04(15),AC-04(15)_ODP[03],AC-04-15-03,,privacy policy that requires the transfer of organization-defined unsanctioned information between different security domains to be prohibited is defined (if selected);,,,
,,AC-04(15),AC-04(15)[01],AC-04-15-04,,"when transferring information between different security domains, information is examined for the presence of <AC-04(15)_ODP[01] unsanctioned information>;",,,
,,AC-04(15),AC-04(15)[02],AC-04-15-05,,"when transferring information between different security domains, transfer of <AC-04(15)_ODP[01] unsanctioned information> is prohibited in accordance with the <AC-04(15)_ODP[02] security policy>;",,,
,,AC-04(15),AC-04(15)[03],AC-04-15-06,,"when transferring information between different security domains, transfer of <AC-04(15)_ODP[01] unsanctioned information> is prohibited in accordance with the <AC-04(15)_ODP[03] privacy policy>.",,,
,AC-04(16),,,AC-04-16-00,Information Flow Enforcement | Information Transfers on Interconnected Systems,[WITHDRAWN: Incorporated into AC-04.],,,
,AC-04(17),,,AC-04-17-00,Information Flow Enforcement | Domain Authentication,Determine if:,[SELECT FROM: Access control policy; information flow control policies; procedures addressing information flow enforcement; procedures addressing source and destination domain identification and authentication; system design documentation; system configuration settings and associated documentation; system audit records; list of system labels; system security plan; privacy plan; other relevant documents or records].,[SELECT FROM: System/network administrators; organizational personnel with information security and privacy responsibilities; system developers].,[SELECT FROM: Mechanisms implementing information flow enforcement policy].
,,AC-04(17),AC-04(17)_ODP,AC-04-17-01,,"one or more of the following PARAMETER VALUES is/are selected: {organization, system, application, service, individual};",,,
,,AC-04(17),AC-04(17),AC-04-17-02,,source and destination points are uniquely identified and authenticated by <AC-04(17)_ODP SELECTED PARAMETER VALUES> for information transfer.,,,
,AC-04(18),,,AC-04-18-00,Information Flow Enforcement | Security Attribute Binding,[WITHDRAWN: Incorporated into AC-16.],,,
,AC-04(19),,,AC-04-19-00,Information Flow Enforcement | Validation of Metadata,Determine if:,[SELECT FROM: Information flow enforcement policy; information flow control policies; procedures addressing information flow enforcement; system design documentation; system configuration settings and associated documentation; list of security policy filtering criteria applied to metadata and data payloads; system audit records; system security plan; privacy plan; other relevant documents or records].,[SELECT FROM: Organizational personnel with information flow enforcement responsibilities; system/network administrators; organizational personnel with information security responsibilities; organizational personnel with privacy responsibilities; system developers].,[SELECT FROM: Mechanisms implementing information flow enforcement functions; security and policy filters].
,,AC-04(19),AC-04(19)_ODP[01],AC-04-19-01,,security policy filters to be implemented on metadata are defined (if selected);,,,
,,AC-04(19),AC-04(19)_ODP[02],AC-04-19-02,,privacy policy filters to be implemented on metadata are defined (if selected);,,,
,,AC-04(19),AC-04(19)[01],AC-04-19-03,,"when transferring information between different security domains, <AC-04(19)_ODP[01] security policy filters> are implemented on metadata;",,,
,,AC-04(19),AC-04(19)[02],AC-04-19-04,,"when transferring information between different security domains, <AC-04(19)_ODP[02] privacy policy filters> are implemented on metadata.",,,
,AC-04(20),,,AC-04-20-00,Information Flow Enforcement | Approved Solutions,Determine if:,[SELECT FROM: Information flow enforcement policy; information flow control policies; procedures addressing information flow enforcement; system design documentation; system configuration settings and associated documentation; list of solutions in approved configurations; approved configuration baselines; system audit records; system security plan; other relevant documents or records].,[SELECT FROM: Organizational personnel with information flow enforcement responsibilities; system/network administrators; organizational personnel with information security responsibilities].,[SELECT FROM: Mechanisms implementing information flow enforcement functions].
,,AC-04(20),AC-04(20)_ODP[01],AC-04-20-01,,solutions in approved configurations to control the flow of information across security domains are defined;,,,
,,AC-04(20),AC-04(20)_ODP[02],AC-04-20-02,,information to be controlled when it flows across security domains is defined;,,,
,,,AC-04(20),AC-04-20-03,,<AC-04(20)_ODP[01] solutions in approved configurations> are employed to control the flow of <AC-04(20)_ODP[02] information> across security domains.,,,
,AC-04(21),,,AC-04-21-00,Information Flow Enforcement | Physical or Logical Separation of Information Flows,Determine if:,[SELECT FROM: Information flow enforcement policy; information flow control policies; procedures addressing information flow enforcement; system design documentation; system configuration settings and associated documentation; list of required separation of information flows by information types; list of mechanisms and/or techniques used to logically or physically separate information flows; system audit records; system security plan; other relevant documents or records].,[SELECT FROM: Organizational personnel with information flow enforcement responsibilities; system/network administrators; organizational personnel with information security responsibilities; system developers].,[SELECT FROM: Mechanisms implementing information flow enforcement functions].
,,AC-04(21),AC-04(21)_ODP[01],AC-04-21-01,,mechanisms and/or techniques used to logically separate information flows are defined (if selected);,,,
,,AC-04(21),AC-04(21)_ODP[02],AC-04-21-02,,mechanisms and/or techniques used to physically separate information flows are defined (if selected);,,,
,,AC-04(21),AC-04(21)_ODP[03],AC-04-21-03,,required separations by types of information are defined;,,,
,,AC-04(21),AC-04(21)[01],AC-04-21-04,,information flows are separated logically using <AC-04(21)_ODP[01] mechanisms and/or techniques> to accomplish <AC-04(21)_ODP[03] required separations>;,,,
